Actual_2025,Predicted_2025,Residual,Absolute_Error,Percentage_Error
6.0,5.945788071168024,0.05421192883197623,0.05421192883197623,0.9035321471996038
5.3,5.274932401844352,0.02506759815564763,0.02506759815564763,0.47297355010655906
4.7,4.684171273315289,0.01582872668471147,0.01582872668471147,0.33678141882364826
6.9,6.974313409558861,-0.07431340955886068,0.07431340955886068,1.077005935635662
5.7,5.707335883900638,-0.007335883900637441,0.007335883900637441,0.1286997175550428
4.7,4.815700013846763,-0.1157000138467632,0.1157000138467632,2.4617024222715576
4.8,4.7949734526251175,0.005026547374882284,0.005026547374882284,0.10471973697671426
4.6,4.6160281861027235,-0.01602818610272383,0.01602818610272383,0.34843882832008327
5.3,5.291351821506236,0.008648178493763758,0.008648178493763758,0.16317317912761808
4.5,4.5464801516150235,-0.0464801516150235,0.0464801516150235,1.0328922581116333
4.5,4.546571860803933,-0.04657186080393316,0.04657186080393316,1.0349302400874036
5.7,5.648015111995201,0.0519848880047995,0.0519848880047995,0.9120155790315702
5.0,5.050984142752439,-0.0509841427524389,0.0509841427524389,1.019682855048778
5.0,5.005493631480545,-0.005493631480544714,0.005493631480544714,0.10987262961089429
5.3,5.238063287587593,0.061936712412406614,0.061936712412406614,1.1686172153284267
5.2,5.181949679115761,0.018050320884238857,0.018050320884238857,0.3471215554661319
4.8,4.763186770551868,0.036813229448132034,0.036813229448132034,0.7669422801694175
5.2,5.176551790954979,0.02344820904502143,0.02344820904502143,0.45092709701964284
5.0,5.000299293723812,-0.0002992937238124327,0.0002992937238124327,0.005985874476248654
5.0,4.985045763216289,0.014954236783711217,0.014954236783711217,0.29908473567422433
5.0,5.00049069541252,-0.0004906954125196705,0.0004906954125196705,0.00981390825039341
5.5,5.43620985052729,0.06379014947270978,0.06379014947270978,1.1598208995038142
5.8,5.751433706511928,0.048566293488072176,0.048566293488072176,0.8373498877253823
5.0,5.013109797363846,-0.013109797363846099,0.013109797363846099,0.26219594727692197
4.8,4.7477146312424,0.052285368757599926,0.052285368757599926,1.0892785157833318
4.8,4.901589643373023,-0.10158964337302301,0.10158964337302301,2.116450903604646
6.3,6.351671241273413,-0.05167124127341349,0.05167124127341349,0.8201784329113252
6.3,6.33452244208702,-0.034522442087020266,0.034522442087020266,0.547975271222544
4.7,4.7422320474182005,-0.0422320474182003,0.0422320474182003,0.8985542003872405
4.7,4.731580062023424,-0.03158006202342367,0.03158006202342367,0.6719162132643335
4.5,4.547498092502234,-0.04749809250223436,0.04749809250223436,1.055513166716319
5.1,5.106180577881705,-0.006180577881705673,0.006180577881705673,0.12118780160207203
5.0,5.016717401923625,-0.01671740192362492,0.01671740192362492,0.3343480384724984
4.2,4.282017896451313,-0.08201789645131274,0.08201789645131274,1.9528070583645891
5.1,4.930688874702233,0.16931112529776637,0.16931112529776637,3.319825986230714
5.5,5.5229033248066735,-0.022903324806673453,0.022903324806673453,0.4164240873940628
5.4,5.389078744558081,0.010921255441919797,0.010921255441919797,0.20224547114666291
4.1,4.116277908055638,-0.016277908055638335,0.016277908055638335,0.397022147698496
5.5,5.494222047458239,0.005777952541761167,0.005777952541761167,0.10505368257747576
5.9,5.959969380880428,-0.05996938088042736,0.05996938088042736,1.016430184414023
4.9,4.860544378640722,0.03945562135927805,0.03945562135927805,0.8052167624342459
4.7,4.719502291889671,-0.019502291889670786,0.019502291889670786,0.41494238063129335
5.5,5.420505920405279,0.07949407959472143,0.07949407959472143,1.445346901722208
4.8,4.7634173335097705,0.03658266649022934,0.03658266649022934,0.7621388852131114
5.7,5.693615437171486,0.006384562828514184,0.006384562828514184,0.11200987418445937
5.0,5.004547057870734,-0.004547057870733617,0.004547057870733617,0.09094115741467235
4.7,4.736060494586322,-0.0360604945863221,0.0360604945863221,0.7672445656664276
7.3,7.297665643633804,0.0023343563661955002,0.0023343563661955002,0.03197748446843151
6.4,6.4210141722330105,-0.021014172233010164,0.021014172233010164,0.3283464411407838
6.4,6.457559288101182,-0.057559288101181494,0.057559288101181494,0.8993638765809608
5.2,5.211943542358991,-0.011943542358991088,0.011943542358991088,0.22968350690367478
8.0,8.150227582148558,-0.15022758214855791,0.15022758214855791,1.877844776856974
6.2,6.112174390474236,0.08782560952576457,0.08782560952576457,1.416542089125235
5.4,5.382558458703599,0.017441541296401297,0.017441541296401297,0.32299150548891287
5.3,5.316362480548438,-0.016362480548438363,0.016362480548438363,0.3087260480837427
5.2,5.215077196505237,-0.015077196505236756,0.015077196505236756,0.2899460866391684
6.0,5.999912220895703,8.777910429724756e-05,8.777910429724756e-05,0.0014629850716207926
5.0,4.94709375078821,0.05290624921178999,0.05290624921178999,1.0581249842357998
5.0,4.947189451632564,0.05281054836743593,0.05281054836743593,1.0562109673487186
6.1,6.0551226429283025,0.044877357071697155,0.044877357071697155,0.7356943782245435
5.6,5.573892183451176,0.02610781654882377,0.02610781654882377,0.4662110098004245
5.6,5.562757152752771,0.037242847247228816,0.037242847247228816,0.6650508437005146
6.3,6.1610876962072645,0.13891230379273534,0.13891230379273534,2.204957203059291
5.6,5.60217016503512,-0.0021701650351202417,0.0021701650351202417,0.038752947055718606
5.4,5.38470434355358,0.015295656446419947,0.015295656446419947,0.28325289715592494
5.7,5.7152552569741655,-0.015255256974165299,0.015255256974165299,0.26763608726605786
5.5,5.457917084377975,0.04208291562202504,0.04208291562202504,0.7651439204004553
5.6,5.594199514079196,0.005800485920803844,0.005800485920803844,0.10358010572864007
5.5,5.458108486066683,0.041891513933316915,0.041891513933316915,0.7616638896966712
