Team,1st_%,2nd_%,3rd_%,Top4_%,Expected_Finish,Medal_Score
India,57.010000000000005,29.189999999999998,10.376666666666665,99.39666666666666,1.6091166666666668,239.7866666666667
Australia,21.884999999999998,34.89333333333333,24.331666666666667,93.34333333333333,2.4905666666666666,159.77333333333334
England,7.281666666666667,14.288333333333334,24.32,69.67,3.7447166666666667,74.74166666666667
South Africa,5.718333333333334,9.69,16.793333333333333,53.55166666666666,4.343416666666666,53.32833333333333
Pakistan,2.6950000000000003,3.58,6.706666666666666,22.87166666666667,5.7960666666666665,21.951666666666668
West Indies,2.5516666666666667,3.125,5.206666666666666,18.636666666666667,6.150383333333333,19.111666666666668
New Zealand,0.8716666666666666,3.1366666666666667,8.648333333333333,29.470000000000002,5.236116666666667,17.53666666666667
Afghanistan,1.9866666666666668,2.0966666666666667,3.6166666666666667,13.059999999999999,6.629616666666666,13.770000000000001
