Year,Country,Debt_to_GDP_Percent,GDP_Growth_Percent,Inflation_Percent,Population_Total,Data_Type,Source
2011,CHN,,9.4613358870736,5.55389892257493,1345035000.0,Historical,World Bank
2011,EMU,,1.7775447306567,3.28801427219796,340367367.0,Historical,World Bank
2011,IND,51.5565536600977,5.24131619937695,8.91179336483371,1261224954.0,Historical,World Bank
2011,JPN,,0.0238095237995424,-0.27245561610124,127833000.0,Historical,World Bank
2011,PAK,,2.68011685421705,11.9160927116277,203746065.0,Historical,World Bank
2011,USA,89.7347177439651,1.56440685763506,3.156841568622,311839461.0,Historical,World Bank
2011,WLD,,3.33900335400304,,7087120034.0,Historical,World Bank
2012,CHN,,7.85617427055587,2.61952432645541,1354190000.0,Historical,World Bank
2012,EMU,,-0.920856755560266,2.54154474108009,341100659.0,Historical,World Bank
2012,IND,50.6780305618952,5.45638755166587,9.47899691419801,1278674502.0,Historical,World Bank
2012,JPN,,1.37475099905274,-0.0440645104432602,127629000.0,Historical,World Bank
2012,PAK,,3.02758391088629,9.68235186055684,207667125.0,Historical,World Bank
2012,USA,93.8330014607143,2.28911338669843,2.06933726526067,314339099.0,Historical,World Bank
2012,WLD,,2.73120979279713,,7176929184.0,Historical,World Bank
2013,CHN,,7.77872409446717,2.62105001748115,1363240000.0,Historical,World Bank
2013,EMU,,-0.166724880410968,1.31023355618666,341639530.0,Historical,World Bank
2013,IND,50.3118273627008,6.38610640094825,10.0178784746102,1295829511.0,Historical,World Bank
2013,JPN,,2.00510017681211,0.335037912184741,127445000.0,Historical,World Bank
2013,PAK,,4.36686504978387,7.69215611899565,211073978.0,Historical,World Bank
2013,USA,95.7184835504169,2.11783009790057,1.46483265562717,316726282.0,Historical,World Bank
2013,WLD,,2.88814205849086,,7265892332.0,Historical,World Bank
2014,CHN,,7.46190028229434,1.92164162788521,1371860000.0,Historical,World Bank
2014,EMU,,1.45587546223307,0.220195628198753,342228563.0,Historical,World Bank
2014,IND,49.9009248748319,7.41022760508854,6.66565671867899,1312277191.0,Historical,World Bank
2014,JPN,,0.296205514141889,2.75922671353253,127276000.0,Historical,World Bank
2014,PAK,,4.11642817161422,7.18938402847028,214264647.0,Historical,World Bank
2014,USA,95.9491132711014,2.52381981363968,1.62222297740817,319257560.0,Historical,World Bank
2014,WLD,,3.13301748764174,,7354068030.0,Historical,World Bank
2015,CHN,,6.97878002657477,1.43702380935655,1379860000.0,Historical,World Bank
2015,EMU,,2.14365367393994,-0.0852072296963751,343180482.0,Historical,World Bank
2015,IND,49.9647183856551,7.99625378571471,4.90697344127256,1328024498.0,Historical,World Bank
2015,JPN,,1.56062669680782,0.795279630579839,127141000.0,Historical,World Bank
2015,PAK,,4.21794209572506,2.52932817254229,217290883.0,Historical,World Bank
2015,USA,96.6110565851958,2.94555045484053,0.118627135552451,321815121.0,Historical,World Bank
2015,WLD,,3.11378907834442,,7441677465.0,Historical,World Bank
2016,CHN,,6.77555562837017,2.00000182191943,1387790000.0,Historical,World Bank
2016,EMU,,1.80158112775391,0.166009884375616,344132977.0,Historical,World Bank
2016,IND,47.6337555915272,8.25630550179086,4.94821634062141,1343944296.0,Historical,World Bank
2016,JPN,,0.753826745789127,-0.127258844489754,127076000.0,Historical,World Bank
2016,PAK,,6.57383828511043,3.7651191635658,220138869.0,Historical,World Bank
2016,USA,98.6931939368279,1.81945147788167,1.26158320570536,324353340.0,Historical,World Bank
2016,WLD,,2.79359207247063,,7528879985.0,Historical,World Bank
2017,CHN,,6.8912663621211,1.59313600071436,1396215000.0,Historical,World Bank
2017,EMU,,2.62262590499378,1.37503641525339,344810179.0,Historical,World Bank
2017,IND,47.5836093800197,6.79538341897911,3.32817337461298,1359657400.0,Historical,World Bank
2017,JPN,,1.67533175173359,0.484199796126385,126972000.0,Historical,World Bank
2017,PAK,,4.43262590683975,4.08537368032608,223273967.0,Historical,World Bank
2017,USA,97.8800564031882,2.45762229852507,2.13011000365961,326608609.0,Historical,World Bank
2017,WLD,,3.45183009055707,,7614523410.0,Historical,World Bank
2018,CHN,,6.75671800166833,2.07479039965576,1402760000.0,Historical,World Bank
2018,EMU,,1.77991130879937,1.6892396580413,345864630.0,Historical,World Bank
2018,IND,46.5224986659322,6.45385134497769,3.9388264669163,1374659064.0,Historical,World Bank
2018,JPN,,0.643391023533141,0.989094598021848,126811000.0,Historical,World Bank
2018,PAK,,6.15170261099519,5.07805725868917,226928892.0,Historical,World Bank
2018,USA,99.2223695206525,2.96650506901305,2.44258329692817,328529577.0,Historical,World Bank
2018,WLD,,3.27395826417856,,7697233736.0,Historical,World Bank
2019,CHN,,6.06850235053705,2.89923416358227,1407745000.0,Historical,World Bank
2019,EMU,,1.62263181033828,1.44123966942341,346496601.0,Historical,World Bank
2019,IND,,3.87143694070356,3.72950573539129,1389030312.0,Historical,World Bank
2019,JPN,,-0.402169200894946,0.46877615938395,126633000.0,Historical,World Bank
2019,PAK,,2.49763692943365,10.5783618004555,230800899.0,Historical,World Bank
2019,USA,100.979786328903,2.58382533412825,1.81221007526021,330226227.0,Historical,World Bank
2019,WLD,,2.67911757479919,,7778008621.0,Historical,World Bank
2020,CHN,,2.34018843078414,2.41942189457782,1411100000.0,Historical,World Bank
2020,EMU,,-6.05674425052126,0.186938139702131,346986142.0,Historical,World Bank
2020,IND,,-5.77772470686801,6.62343677628535,1402617695.0,Historical,World Bank
