version,1.7.0
info,balls_per_over,6
info,team,Lancashire
info,team,Durham
info,gender,male
info,season,2016
info,date,2016/08/01
info,event,Royal London One-Day Cup
info,venue,"Old Trafford, Manchester"
info,city,Manchester
info,toss_winner,Lancashire
info,toss_decision,bat
info,umpire,AG Wharf
info,umpire,SC Gale
info,outcome,no result
info,player,Lancashire,KR Brown
info,player,Lancashire,AN Petersen
info,player,Lancashire,LS Livingstone
info,player,Lancashire,SJ Croft
info,player,Lancashire,J Clark
info,player,Lancashire,TJ Moores
info,player,Lancashire,LA Procter
info,player,Lancashire,SD Parry
info,player,Lancashire,AM Lilley
info,player,Lancashire,S Mahmood
info,player,Lancashire,NL Buck
info,player,Durham,MD Stoneman
info,player,Durham,KK Jennings
info,player,Durham,SG Borthwick
info,player,Durham,JTA Burnham
info,player,Durham,MJ Richardson
info,player,Durham,RD Pringle
info,player,Durham,GJ Muchall
info,player,Durham,SW Poynter
info,player,Durham,P Coughlin
info,player,Durham,U Arshad
info,player,Durham,C Rushworth
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AM Lilley,88a004e9
info,registry,people,AN Petersen,e01aafc1
info,registry,people,C Rushworth,e737a5fe
info,registry,people,GJ Muchall,a15347c2
info,registry,people,J Clark,c672e80e
info,registry,people,JTA Burnham,a4a2a0c0
info,registry,people,KK Jennings,8479a24a
info,registry,people,KR Brown,818c9e0d
info,registry,people,LA Procter,07c8a2f4
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MD Stoneman,1b77f62b
info,registry,people,MJ Richardson,22176fe7
info,registry,people,NL Buck,5239d782
info,registry,people,P Coughlin,71440756
info,registry,people,RD Pringle,757502b5
info,registry,people,S Mahmood,0f6db197
info,registry,people,SC Gale,3df4cd05
info,registry,people,SD Parry,fdb8ed0d
info,registry,people,SG Borthwick,51e1ed69
info,registry,people,SJ Croft,ab474682
info,registry,people,SW Poynter,cdf59953
info,registry,people,TJ Moores,85dcb721
info,registry,people,U Arshad,02b93a83
ball,1,0.1,Lancashire,KR Brown,AN Petersen,C Rushworth,0,0,,,,,,"",""
ball,1,0.2,Lancashire,KR Brown,AN Petersen,C Rushworth,0,0,,,,,,"",""
ball,1,0.3,Lancashire,KR Brown,AN Petersen,C Rushworth,0,0,,,,,,"",""
ball,1,0.4,Lancashire,KR Brown,AN Petersen,C Rushworth,4,0,,,,,,"",""
ball,1,0.5,Lancashire,KR Brown,AN Petersen,C Rushworth,2,0,,,,,,"",""
ball,1,0.6,Lancashire,KR Brown,AN Petersen,C Rushworth,0,0,,,,,,"",""
ball,1,1.1,Lancashire,AN Petersen,KR Brown,P Coughlin,0,0,,,,,,"",""
ball,1,1.2,Lancashire,AN Petersen,KR Brown,P Coughlin,0,1,1,,,,,"",""
ball,1,1.3,Lancashire,AN Petersen,KR Brown,P Coughlin,0,0,,,,,,"",""
ball,1,1.4,Lancashire,AN Petersen,KR Brown,P Coughlin,0,0,,,,,,"",""
ball,1,1.5,Lancashire,AN Petersen,KR Brown,P Coughlin,0,0,,,,,,"",""
ball,1,1.6,Lancashire,AN Petersen,KR Brown,P Coughlin,0,0,,,,,,"",""
ball,1,1.7,Lancashire,AN Petersen,KR Brown,P Coughlin,0,0,,,,,,"",""
ball,1,2.1,Lancashire,KR Brown,AN Petersen,C Rushworth,0,0,,,,,,"",""
ball,1,2.2,Lancashire,KR Brown,AN Petersen,C Rushworth,0,0,,,,,,"",""
ball,1,2.3,Lancashire,KR Brown,AN Petersen,C Rushworth,4,0,,,,,,"",""
ball,1,2.4,Lancashire,KR Brown,AN Petersen,C Rushworth,4,0,,,,,,"",""
ball,1,2.5,Lancashire,KR Brown,AN Petersen,C Rushworth,4,0,,,,,,"",""
ball,1,2.6,Lancashire,KR Brown,AN Petersen,C Rushworth,0,0,,,,,,"",""
ball,1,3.1,Lancashire,AN Petersen,KR Brown,P Coughlin,4,0,,,,,,"",""
