version,1.6.0
info,balls_per_over,6
info,team,Kenya
info,team,Tanzania
info,gender,male
info,season,2018
info,date,2018/07/13
info,event,ICC World Twenty20 Africa Region Qualifier B
info,match_number,9
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,
info,toss_winner,Kenya
info,toss_decision,bat
info,player_of_match,AA Obanda
info,umpire,S George
info,umpire,C Thorburn
info,reserve_umpire,IO Oyieko
info,match_referee,D Govindjee
info,winner,Kenya
info,winner_runs,56
info,player,Kenya,DM Gondaria
info,player,Kenya,AA Obanda
info,player,Kenya,RR Patel
info,player,Kenya,RN Patel
info,player,Kenya,SO Ngoche
info,player,Kenya,Gurdeep Singh
info,player,Kenya,P Kerai
info,player,Kenya,EB Ringera
ball,1,1.5,Kenya,AA Obanda,DM Gondaria,RK Kiseto,4,0,,,,,,"",""
ball,1,1.6,Kenya,AA Obanda,DM Gondaria,RK Kiseto,0,0,,,,,,"",""
ball,1,2.1,Kenya,DM Gondaria,AA Obanda,SJ Ally,0,0,,,,,,"",""
ball,1,2.2,Kenya,DM Gondaria,AA Obanda,SJ Ally,0,0,,,,,,"",""
ball,1,2.3,Kenya,DM Gondaria,AA Obanda,SJ Ally,0,0,,,,,,"",""
ball,1,2.4,Kenya,DM Gondaria,AA Obanda,SJ Ally,1,0,,,,,,"",""
ball,1,2.5,Kenya,AA Obanda,DM Gondaria,SJ Ally,6,0,,,,,,"",""
ball,1,2.6,Kenya,AA Obanda,DM Gondaria,SJ Ally,4,0,,,,,,"",""
ball,1,3.1,Kenya,DM Gondaria,AA Obanda,RK Kiseto,0,0,,,,,,"",""
ball,1,3.2,Kenya,DM Gondaria,AA Obanda,RK Kiseto,1,0,,,,,,"",""
ball,1,3.3,Kenya,AA Obanda,DM Gondaria,RK Kiseto,0,0,,,,,,"",""
ball,1,3.4,Kenya,AA Obanda,DM Gondaria,RK Kiseto,1,0,,,,,,"",""
ball,1,3.5,Kenya,DM Gondaria,AA Obanda,RK Kiseto,0,0,,,,,,"",""
ball,1,3.6,Kenya,DM Gondaria,AA Obanda,RK Kiseto,4,0,,,,,,"",""
ball,1,4.1,Kenya,AA Obanda,DM Gondaria,JC Darji,0,0,,,,,,"",""
ball,1,4.2,Kenya,AA Obanda,DM Gondaria,JC Darji,1,0,,,,,,"",""
ball,1,4.3,Kenya,DM Gondaria,AA Obanda,JC Darji,4,0,,,,,,"",""
ball,1,4.4,Kenya,DM Gondaria,AA Obanda,JC Darji,1,0,,,,,,"",""
ball,1,4.5,Kenya,AA Obanda,DM Gondaria,JC Darji,0,0,,,,,,"",""
ball,1,4.6,Kenya,AA Obanda,DM Gondaria,JC Darji,1,0,,,,,,"",""
ball,1,5.1,Kenya,AA Obanda,DM Gondaria,RK Kiseto,1,0,,,,,,"",""
ball,1,5.2,Kenya,DM Gondaria,AA Obanda,RK Kiseto,4,0,,,,,,"",""
ball,1,5.3,Kenya,DM Gondaria,AA Obanda,RK Kiseto,6,0,,,,,,"",""
ball,1,5.4,Kenya,DM Gondaria,AA Obanda,RK Kiseto,0,0,,,,,,"",""
ball,1,5.5,Kenya,DM Gondaria,AA Obanda,RK Kiseto,0,0,,,,,,"",""
ball,1,5.6,Kenya,DM Gondaria,AA Obanda,RK Kiseto,1,0,,,,,,"",""
ball,1,6.1,Kenya,DM Gondaria,AA Obanda,JC Darji,1,0,,,,,,"",""
ball,1,6.2,Kenya,AA Obanda,DM Gondaria,JC Darji,0,0,,,,,,"",""
ball,1,6.3,Kenya,AA Obanda,DM Gondaria,JC Darji,1,0,,,,,,"",""
ball,1,6.4,Kenya,DM Gondaria,AA Obanda,JC Darji,0,0,,,,,,"",""
