version,1.6.0
info,balls_per_over,6
info,team,St Kitts and Nevis Patriots
info,team,Jamaica Tallawahs
info,gender,male
info,season,2020
info,date,2020/09/03
info,event,Caribbean Premier League
info,match_number,25
info,venue,"Brian Lara Stadium, Tarouba"
info,city,Trinidad
info,toss_winner,Jamaica Tallawahs
info,toss_decision,field
info,umpire,LS Reifer
info,umpire,DK Butler
info,reserve_umpire,Danesh Ramdhanie
info,tv_umpire,JS Wilson
info,match_referee,Reon King
info,outcome,no result
info,player,St Kitts and Nevis Patriots,E Lewis
info,player,St Kitts and Nevis Patriots,CA Lynn
info,player,St Kitts and Nevis Patriots,J Da Silva
info,player,St Kitts and Nevis Patriots,BR Dunk
info,player,St Kitts and Nevis Patriots,D Ramdin
info,player,St Kitts and Nevis Patriots,C Archibald
info,player,St Kitts and Nevis Patriots,RR Emrit
info,player,St Kitts and Nevis Patriots,AS Joseph
info,player,St Kitts and Nevis Patriots,I Khan (2)
info,player,St Kitts and Nevis Patriots,JL Jaggesar
info,player,St Kitts and Nevis Patriots,SS Cottrell
info,player,Jamaica Tallawahs,GD Phillips
info,player,Jamaica Tallawahs,NE Bonner
info,player,Jamaica Tallawahs,J Blackwood
info,player,Jamaica Tallawahs,Asif Ali
info,player,Jamaica Tallawahs,R Powell
info,player,Jamaica Tallawahs,AD Russell
info,player,Jamaica Tallawahs,CR Brathwaite
info,player,Jamaica Tallawahs,V Permaul
info,player,Jamaica Tallawahs,Mujeeb Ur Rahman
info,player,Jamaica Tallawahs,S Lamichhane
info,player,Jamaica Tallawahs,FH Edwards
info,registry,people,AD Russell,bbd41817
info,registry,people,AS Joseph,b0946605
info,registry,people,Asif Ali,0a4736eb
info,registry,people,BR Dunk,272d796e
info,registry,people,C Archibald,c3a8bc99
info,registry,people,CA Lynn,45eda7c8
info,registry,people,CR Brathwaite,e342e5fb
info,registry,people,D Ramdin,d1523761
info,registry,people,DK Butler,671398e3
info,registry,people,Danesh Ramdhanie,d09891ad
info,registry,people,E Lewis,0ebfb1ad
info,registry,people,FH Edwards,a7c226e1
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,I Khan (2),2ae01eb0
info,registry,people,J Blackwood,c3b93a03
info,registry,people,J Da Silva,bab78fa2
info,registry,people,JL Jaggesar,2b85c8e6
info,registry,people,JS Wilson,d7f3b72f
info,registry,people,LS Reifer,5dee559a
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,NE Bonner,59ddd811
info,registry,people,R Powell,650d5e49
info,registry,people,RR Emrit,e7de4f6b
info,registry,people,Reon King,20fbf68c
info,registry,people,S Lamichhane,b410bd3d
info,registry,people,SS Cottrell,a1d053dd
info,registry,people,V Permaul,78dfe704
ball,1,0.1,St Kitts and Nevis Patriots,E Lewis,CA Lynn,FH Edwards,2,0,,,,,,"",""
ball,1,0.2,St Kitts and Nevis Patriots,E Lewis,CA Lynn,FH Edwards,0,0,,,,,,"",""
ball,1,0.3,St Kitts and Nevis Patriots,E Lewis,CA Lynn,FH Edwards,0,0,,,,,,"",""
ball,1,0.4,St Kitts and Nevis Patriots,E Lewis,CA Lynn,FH Edwards,4,0,,,,,,"",""
ball,1,0.5,St Kitts and Nevis Patriots,E Lewis,CA Lynn,FH Edwards,4,0,,,,,,"",""
ball,1,0.6,St Kitts and Nevis Patriots,E Lewis,CA Lynn,FH Edwards,0,0,,,,,,"",""
ball,1,1.1,St Kitts and Nevis Patriots,CA Lynn,E Lewis,Mujeeb Ur Rahman,1,0,,,,,,"",""
ball,1,1.2,St Kitts and Nevis Patriots,E Lewis,CA Lynn,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,1.3,St Kitts and Nevis Patriots,E Lewis,CA Lynn,Mujeeb Ur Rahman,1,0,,,,,,"",""
ball,1,1.4,St Kitts and Nevis Patriots,CA Lynn,E Lewis,Mujeeb Ur Rahman,0,1,1,,,,,"",""
ball,1,1.5,St Kitts and Nevis Patriots,CA Lynn,E Lewis,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,1.6,St Kitts and Nevis Patriots,CA Lynn,E Lewis,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,1.7,St Kitts and Nevis Patriots,CA Lynn,E Lewis,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,2.1,St Kitts and Nevis Patriots,E Lewis,CA Lynn,FH Edwards,0,0,,,,,,"",""
ball,1,2.2,St Kitts and Nevis Patriots,E Lewis,CA Lynn,FH Edwards,1,0,,,,,,"",""
ball,1,2.3,St Kitts and Nevis Patriots,CA Lynn,E Lewis,FH Edwards,0,1,,,,1,,"",""
ball,1,2.4,St Kitts and Nevis Patriots,E Lewis,CA Lynn,FH Edwards,1,0,,,,,,"",""
ball,1,2.5,St Kitts and Nevis Patriots,CA Lynn,E Lewis,FH Edwards,2,0,,,,,,"",""
ball,1,2.6,St Kitts and Nevis Patriots,CA Lynn,E Lewis,FH Edwards,1,0,,,,,,"",""
ball,1,3.1,St Kitts and Nevis Patriots,CA Lynn,E Lewis,V Permaul,1,0,,,,,,"",""
ball,1,3.2,St Kitts and Nevis Patriots,E Lewis,CA Lynn,V Permaul,1,0,,,,,,"",""
ball,1,3.3,St Kitts and Nevis Patriots,CA Lynn,E Lewis,V Permaul,0,0,,,,,,"",""
ball,1,3.4,St Kitts and Nevis Patriots,CA Lynn,E Lewis,V Permaul,0,0,,,,,,"",""
ball,1,3.5,St Kitts and Nevis Patriots,CA Lynn,E Lewis,V Permaul,0,0,,,,,,"",""
ball,1,3.6,St Kitts and Nevis Patriots,CA Lynn,E Lewis,V Permaul,2,0,,,,,,"",""
ball,1,4.1,St Kitts and Nevis Patriots,E Lewis,CA Lynn,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,4.2,St Kitts and Nevis Patriots,E Lewis,CA Lynn,Mujeeb Ur Rahman,0,0,,,,,,"",""
ball,1,4.3,St Kitts and Nevis Patriots,E Lewis,CA Lynn,Mujeeb Ur Rahman,1,0,,,,,,"",""
ball,1,4.4,St Kitts and Nevis Patriots,CA Lynn,E Lewis,Mujeeb Ur Rahman,4,0,,,,,,"",""
ball,1,4.5,St Kitts and Nevis Patriots,CA Lynn,E Lewis,Mujeeb Ur Rahman,6,0,,,,,,"",""
ball,1,4.6,St Kitts and Nevis Patriots,CA Lynn,E Lewis,Mujeeb Ur Rahman,6,0,,,,,,"",""
ball,1,5.1,St Kitts and Nevis Patriots,E Lewis,CA Lynn,V Permaul,0,0,,,,,,"",""
ball,1,5.2,St Kitts and Nevis Patriots,E Lewis,CA Lynn,V Permaul,0,0,,,,,,"",""
ball,1,5.3,St Kitts and Nevis Patriots,E Lewis,CA Lynn,V Permaul,0,0,,,,,,"",""
ball,1,5.4,St Kitts and Nevis Patriots,E Lewis,CA Lynn,V Permaul,6,0,,,,,,"",""
