version,1.7.0
info,balls_per_over,6
info,team,Kandy Falcons
info,team,Galle Marvels
info,gender,male
info,season,2024
info,date,2024/07/10
info,event,Lanka Premier League
info,match_number,14
info,venue,Rangiri Dambulla International Stadium
info,city,Dambulla
info,toss_winner,Galle Marvels
info,toss_decision,field
info,player_of_match,NGRP Jayasuriya
info,umpire,RMPJ Rambukwella
info,umpire,BSP Fernando
info,reserve_umpire,PSR Fonseka
info,tv_umpire,RR Wimalasiri
info,match_referee,GF Labrooy
info,winner,Galle Marvels
info,winner_wickets,8
info,player,Kandy Falcons,ADS Fletcher
info,player,Kandy Falcons,LD Chandimal
info,player,Kandy Falcons,Mohammad Haris
info,player,Kandy Falcons,PHKD Mendis
info,player,Kandy Falcons,AD Mathews
info,player,Kandy Falcons,MD Shanaka
info,player,Kandy Falcons,PWH de Silva
info,player,Kandy Falcons,RTM Mendis
info,player,Kandy Falcons,K Pathiratne
info,player,Kandy Falcons,CAK Rajitha
info,player,Kandy Falcons,Shoriful Islam
info,player,Galle Marvels,N Dickwella
info,player,Galle Marvels,AD Hales
info,player,Galle Marvels,TL Seifert
info,player,Galle Marvels,PBB Rajapaksa
info,player,Galle Marvels,J Liyanage
info,player,Galle Marvels,SSD Arachchige
info,player,Galle Marvels,D Pretorius
info,player,Galle Marvels,I Udana
info,player,Galle Marvels,NGRP Jayasuriya
info,player,Galle Marvels,K Nadeeshan
info,player,Galle Marvels,M Theekshana
info,registry,people,AD Hales,92aeac25
info,registry,people,AD Mathews,896d78ad
info,registry,people,ADS Fletcher,1bae756b
info,registry,people,BSP Fernando,8a49883f
info,registry,people,CAK Rajitha,8012d0b8
info,registry,people,D Pretorius,11614d87
info,registry,people,GF Labrooy,8e088dbc
info,registry,people,I Udana,ac5ae4af
info,registry,people,J Liyanage,84212ffb
info,registry,people,K Nadeeshan,778b9795
info,registry,people,K Pathiratne,020f0699
info,registry,people,LD Chandimal,8dd02a98
info,registry,people,M Theekshana,f24c6701
info,registry,people,MD Shanaka,3ff033bb
info,registry,people,Mohammad Haris,ff3f6fc1
info,registry,people,N Dickwella,45963d9e
info,registry,people,NGRP Jayasuriya,127bc5ca
info,registry,people,PBB Rajapaksa,6c882e9a
info,registry,people,PHKD Mendis,08548b13
info,registry,people,PSR Fonseka,8fd2cea5
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,RR Wimalasiri,4950c8db
info,registry,people,RTM Mendis,1be67d37
info,registry,people,SSD Arachchige,c05f9d20
info,registry,people,Shoriful Islam,bb34fd31
info,registry,people,TL Seifert,4663bd23
ball,1,0.1,Kandy Falcons,ADS Fletcher,LD Chandimal,D Pretorius,1,0,,,,,,"",""
ball,1,0.2,Kandy Falcons,LD Chandimal,ADS Fletcher,D Pretorius,1,0,,,,,,"",""
ball,1,0.3,Kandy Falcons,ADS Fletcher,LD Chandimal,D Pretorius,0,0,,,,,,"",""
ball,1,0.4,Kandy Falcons,ADS Fletcher,LD Chandimal,D Pretorius,0,0,,,,,,"",""
ball,1,0.5,Kandy Falcons,ADS Fletcher,LD Chandimal,D Pretorius,1,0,,,,,,"",""
ball,1,0.6,Kandy Falcons,LD Chandimal,ADS Fletcher,D Pretorius,0,0,,,,,,"",""
ball,1,1.1,Kandy Falcons,ADS Fletcher,LD Chandimal,I Udana,2,0,,,,,,"",""
ball,1,1.2,Kandy Falcons,ADS Fletcher,LD Chandimal,I Udana,4,0,,,,,,"",""
ball,1,1.3,Kandy Falcons,ADS Fletcher,LD Chandimal,I Udana,4,0,,,,,,"",""
ball,1,1.4,Kandy Falcons,ADS Fletcher,LD Chandimal,I Udana,1,0,,,,,,"",""
ball,1,1.5,Kandy Falcons,LD Chandimal,ADS Fletcher,I Udana,6,0,,,,,,"",""
ball,1,1.6,Kandy Falcons,LD Chandimal,ADS Fletcher,I Udana,4,0,,,,,,"",""
ball,1,2.1,Kandy Falcons,ADS Fletcher,LD Chandimal,D Pretorius,6,0,,,,,,"",""
ball,1,2.2,Kandy Falcons,ADS Fletcher,LD Chandimal,D Pretorius,1,0,,,,,,"",""
ball,1,2.3,Kandy Falcons,LD Chandimal,ADS Fletcher,D Pretorius,4,0,,,,,,"",""
ball,1,2.4,Kandy Falcons,LD Chandimal,ADS Fletcher,D Pretorius,2,0,,,,,,"",""
ball,1,2.5,Kandy Falcons,LD Chandimal,ADS Fletcher,D Pretorius,6,0,,,,,,"",""
ball,1,2.6,Kandy Falcons,LD Chandimal,ADS Fletcher,D Pretorius,0,1,1,,,,,"",""
ball,1,2.7,Kandy Falcons,LD Chandimal,ADS Fletcher,D Pretorius,1,0,,,,,,"",""
ball,1,3.1,Kandy Falcons,LD Chandimal,ADS Fletcher,M Theekshana,0,0,,,,,,"",""
ball,1,3.2,Kandy Falcons,LD Chandimal,ADS Fletcher,M Theekshana,1,0,,,,,,"",""
ball,1,3.3,Kandy Falcons,ADS Fletcher,LD Chandimal,M Theekshana,0,0,,,,,,"",""
ball,1,3.4,Kandy Falcons,ADS Fletcher,LD Chandimal,M Theekshana,1,0,,,,,,"",""
ball,1,3.5,Kandy Falcons,LD Chandimal,ADS Fletcher,M Theekshana,0,0,,,,,,"",""
