version,1.7.0
info,balls_per_over,6
info,team,Peshawar Zalmi
info,team,Karachi Kings
info,gender,male
info,season,2025
info,date,2025/04/21
info,event,Pakistan Super League
info,match_number,11
info,venue,"National Stadium, Karachi"
info,city,Karachi
info,toss_winner,Karachi Kings
info,toss_decision,field
info,player_of_match,Khushdil Shah
info,umpire,Faisal Afridi
info,umpire,PR Reiffel
info,reserve_umpire,Abdul Muqeet
info,tv_umpire,Asif Yaqoob
info,match_referee,Iftikhar Ahmed
info,winner,Karachi Kings
info,winner_wickets,2
info,player,Peshawar Zalmi,Babar Azam
info,player,Peshawar Zalmi,Saim Ayub
info,player,Peshawar Zalmi,T Kohler-Cadmore
info,player,Peshawar Zalmi,Mohammad Haris
info,player,Peshawar Zalmi,Hussain Talat
info,player,Peshawar Zalmi,MJ Owen
info,player,Peshawar Zalmi,Abdul Samad
info,player,Peshawar Zalmi,AS Joseph
info,player,Peshawar Zalmi,L Wood
info,player,Peshawar Zalmi,Arif Yaqoob
info,player,Peshawar Zalmi,Ali Raza
info,player,Karachi Kings,TL Seifert
info,player,Karachi Kings,DA Warner
info,player,Karachi Kings,JM Vince
info,player,Karachi Kings,Saad Baig
info,player,Karachi Kings,Irfan Khan
info,player,Karachi Kings,Mohammad Nabi
info,player,Karachi Kings,Khushdil Shah
info,player,Karachi Kings,Abbas Afridi
info,player,Karachi Kings,Aamer Jamal
info,player,Karachi Kings,Hasan Ali
info,player,Karachi Kings,Mir Hamza
info,registry,people,AS Joseph,b0946605
info,registry,people,Aamer Jamal,a8e54ef4
info,registry,people,Abbas Afridi,2cec2a92
info,registry,people,Abdul Muqeet,e1ac7789
info,registry,people,Abdul Samad,8e554b6b
info,registry,people,Ali Raza,53834b36
info,registry,people,Arif Yaqoob,6bb9e53b
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,Babar Azam,8a75e999
info,registry,people,DA Warner,dcce6f09
info,registry,people,Faisal Afridi,ed0bc503
info,registry,people,Hasan Ali,2911de16
info,registry,people,Hussain Talat,bb4b445b
info,registry,people,Iftikhar Ahmed,973d561e
info,registry,people,Irfan Khan,ee95065d
info,registry,people,JM Vince,a15618fe
info,registry,people,Khushdil Shah,fce581b5
info,registry,people,L Wood,65b6943c
info,registry,people,MJ Owen,f2c936d7
info,registry,people,Mir Hamza,cb1a782a
info,registry,people,Mohammad Haris,ff3f6fc1
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,PR Reiffel,c9354f29
info,registry,people,Saad Baig,eb75d76c
info,registry,people,Saim Ayub,33609a8c
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,TL Seifert,4663bd23
ball,1,0.1,Peshawar Zalmi,Babar Azam,Saim Ayub,Mir Hamza,0,0,,,,,,"",""
ball,1,0.2,Peshawar Zalmi,Babar Azam,Saim Ayub,Mir Hamza,0,0,,,,,,"",""
ball,1,0.3,Peshawar Zalmi,Babar Azam,Saim Ayub,Mir Hamza,0,0,,,,,,"",""
ball,1,0.4,Peshawar Zalmi,Babar Azam,Saim Ayub,Mir Hamza,1,0,,,,,,"",""
ball,1,0.5,Peshawar Zalmi,Saim Ayub,Babar Azam,Mir Hamza,0,1,1,,,,,"",""
ball,1,0.6,Peshawar Zalmi,Saim Ayub,Babar Azam,Mir Hamza,0,0,,,,,,"",""
ball,1,0.7,Peshawar Zalmi,Saim Ayub,Babar Azam,Mir Hamza,0,0,,,,,,"",""
ball,1,1.1,Peshawar Zalmi,Babar Azam,Saim Ayub,Hasan Ali,1,0,,,,,,"",""
ball,1,1.2,Peshawar Zalmi,Saim Ayub,Babar Azam,Hasan Ali,0,0,,,,,,"",""
ball,1,1.3,Peshawar Zalmi,Saim Ayub,Babar Azam,Hasan Ali,0,0,,,,,,"",""
ball,1,1.4,Peshawar Zalmi,Saim Ayub,Babar Azam,Hasan Ali,0,0,,,,,,"",""
ball,1,1.5,Peshawar Zalmi,Saim Ayub,Babar Azam,Hasan Ali,0,1,1,,,,,"",""
ball,1,1.6,Peshawar Zalmi,Saim Ayub,Babar Azam,Hasan Ali,0,0,,,,,,"",""
ball,1,1.7,Peshawar Zalmi,Saim Ayub,Babar Azam,Hasan Ali,4,0,,,,,,"",""
ball,1,2.1,Peshawar Zalmi,Babar Azam,Saim Ayub,Mir Hamza,0,0,,,,,,"",""
ball,1,2.2,Peshawar Zalmi,Babar Azam,Saim Ayub,Mir Hamza,0,0,,,,,,"",""
ball,1,2.3,Peshawar Zalmi,Babar Azam,Saim Ayub,Mir Hamza,1,0,,,,,,"",""
ball,1,2.4,Peshawar Zalmi,Saim Ayub,Babar Azam,Mir Hamza,0,0,,,,,,caught,Saim Ayub
ball,1,2.5,Peshawar Zalmi,T Kohler-Cadmore,Babar Azam,Mir Hamza,0,0,,,,,,"",""
ball,1,2.6,Peshawar Zalmi,T Kohler-Cadmore,Babar Azam,Mir Hamza,0,0,,,,,,"",""
ball,1,3.1,Peshawar Zalmi,Babar Azam,T Kohler-Cadmore,Hasan Ali,0,1,1,,,,,"",""
ball,1,3.2,Peshawar Zalmi,Babar Azam,T Kohler-Cadmore,Hasan Ali,0,0,,,,,,"",""
ball,1,3.3,Peshawar Zalmi,Babar Azam,T Kohler-Cadmore,Hasan Ali,4,0,,,,,,"",""
