version,1.6.0
info,balls_per_over,6
info,team,Sussex
info,team,Glamorgan
info,gender,male
info,season,2016
info,date,2016/07/28
ball,1,3.1,Glamorgan,DL Lloyd,AHT Donald,JC Archer,0,0,,,,,,"",""
ball,1,3.2,Glamorgan,DL Lloyd,AHT Donald,JC Archer,4,0,,,,,,"",""
ball,1,3.3,Glamorgan,DL Lloyd,AHT Donald,JC Archer,1,0,,,,,,"",""
ball,1,3.4,Glamorgan,AHT Donald,DL Lloyd,JC Archer,0,1,1,,,,,"",""
ball,1,3.5,Glamorgan,AHT Donald,DL Lloyd,JC Archer,1,0,,,,,,"",""
ball,1,3.6,Glamorgan,DL Lloyd,AHT Donald,JC Archer,0,0,,,,,,caught,DL Lloyd
ball,1,3.7,Glamorgan,AHT Donald,JA Rudolph,JC Archer,4,0,,,,,,"",""
ball,1,4.1,Glamorgan,JA Rudolph,AHT Donald,GHS Garton,1,0,,,,,,"",""
ball,1,4.2,Glamorgan,AHT Donald,JA Rudolph,GHS Garton,0,0,,,,,,"",""
ball,1,4.3,Glamorgan,AHT Donald,JA Rudolph,GHS Garton,0,0,,,,,,"",""
ball,1,4.4,Glamorgan,AHT Donald,JA Rudolph,GHS Garton,1,0,,,,,,"",""
ball,1,4.5,Glamorgan,JA Rudolph,AHT Donald,GHS Garton,1,0,,,,,,"",""
ball,1,4.6,Glamorgan,AHT Donald,JA Rudolph,GHS Garton,0,0,,,,,,caught,AHT Donald
ball,1,5.1,Glamorgan,JA Rudolph,GG Wagg,WAT Beer,1,0,,,,,,"",""
ball,1,5.2,Glamorgan,GG Wagg,JA Rudolph,WAT Beer,0,3,,,3,,,"",""
ball,1,5.3,Glamorgan,JA Rudolph,GG Wagg,WAT Beer,1,0,,,,,,"",""
ball,1,5.4,Glamorgan,GG Wagg,JA Rudolph,WAT Beer,1,0,,,,,,"",""
ball,1,5.5,Glamorgan,JA Rudolph,GG Wagg,WAT Beer,1,0,,,,,,"",""
ball,1,5.6,Glamorgan,GG Wagg,JA Rudolph,WAT Beer,1,0,,,,,,"",""
ball,1,6.1,Glamorgan,GG Wagg,JA Rudolph,GHS Garton,0,0,,,,,,"",""
ball,1,6.2,Glamorgan,GG Wagg,JA Rudolph,GHS Garton,0,0,,,,,,"",""
ball,1,6.3,Glamorgan,GG Wagg,JA Rudolph,GHS Garton,1,0,,,,,,"",""
ball,1,6.4,Glamorgan,JA Rudolph,GG Wagg,GHS Garton,1,0,,,,,,"",""
ball,1,6.5,Glamorgan,GG Wagg,JA Rudolph,GHS Garton,4,0,,,,,,"",""
ball,1,6.6,Glamorgan,GG Wagg,JA Rudolph,GHS Garton,0,0,,,,,,caught and bowled,GG Wagg
ball,1,7.1,Glamorgan,JA Rudolph,AG Salter,WAT Beer,0,0,,,,,,caught,JA Rudolph
ball,1,7.2,Glamorgan,AG Salter,CAJ Meschede,WAT Beer,1,0,,,,,,"",""
ball,1,7.3,Glamorgan,CAJ Meschede,AG Salter,WAT Beer,0,1,1,,,,,"",""
ball,1,7.4,Glamorgan,CAJ Meschede,AG Salter,WAT Beer,0,0,,,,,,"",""
ball,1,7.5,Glamorgan,CAJ Meschede,AG Salter,WAT Beer,0,0,,,,,,"",""
ball,1,7.6,Glamorgan,CAJ Meschede,AG Salter,WAT Beer,1,0,,,,,,"",""
ball,1,7.7,Glamorgan,AG Salter,CAJ Meschede,WAT Beer,1,0,,,,,,"",""
ball,1,8.1,Glamorgan,AG Salter,CAJ Meschede,GHS Garton,0,1,1,,,,,"",""
ball,1,8.2,Glamorgan,AG Salter,CAJ Meschede,GHS Garton,0,0,,,,,,"",""
ball,1,8.3,Glamorgan,AG Salter,CAJ Meschede,GHS Garton,0,0,,,,,,bowled,AG Salter
ball,1,8.4,Glamorgan,T van der Gugten,CAJ Meschede,GHS Garton,0,0,,,,,,"",""
ball,1,8.5,Glamorgan,T van der Gugten,CAJ Meschede,GHS Garton,0,2,,2,,,,"",""
ball,1,8.6,Glamorgan,T van der Gugten,CAJ Meschede,GHS Garton,4,0,,,,,,"",""
ball,1,8.7,Glamorgan,T van der Gugten,CAJ Meschede,GHS Garton,0,0,,,,,,caught,T van der Gugten
ball,1,8.8,Glamorgan,MG Hogan,CAJ Meschede,GHS Garton,0,0,,,,,,"",""
ball,1,9.1,Glamorgan,CAJ Meschede,MG Hogan,WAT Beer,1,0,,,,,,"",""
ball,1,9.2,Glamorgan,MG Hogan,CAJ Meschede,WAT Beer,1,0,,,,,,"",""
ball,1,9.3,Glamorgan,CAJ Meschede,MG Hogan,WAT Beer,0,0,,,,,,"",""
ball,1,9.4,Glamorgan,CAJ Meschede,MG Hogan,WAT Beer,1,0,,,,,,"",""
ball,1,9.5,Glamorgan,MG Hogan,CAJ Meschede,WAT Beer,0,0,,,,,,"",""
ball,1,9.6,Glamorgan,MG Hogan,CAJ Meschede,WAT Beer,6,0,,,,,,"",""
ball,1,10.1,Glamorgan,CAJ Meschede,MG Hogan,TS Mills,0,0,,,,,,"",""
ball,1,10.2,Glamorgan,CAJ Meschede,MG Hogan,TS Mills,0,1,1,,,,,"",""
ball,1,10.3,Glamorgan,CAJ Meschede,MG Hogan,TS Mills,0,0,,,,,,"",""
ball,1,10.4,Glamorgan,CAJ Meschede,MG Hogan,TS Mills,0,0,,,,,,"",""
ball,1,10.5,Glamorgan,CAJ Meschede,MG Hogan,TS Mills,0,0,,,,,,"",""
ball,1,10.6,Glamorgan,CAJ Meschede,MG Hogan,TS Mills,0,0,,,,,,"",""
ball,1,10.7,Glamorgan,CAJ Meschede,MG Hogan,TS Mills,1,0,,,,,,"",""
ball,1,11.1,Glamorgan,CAJ Meschede,MG Hogan,CJ Jordan,4,0,,,,,,"",""
ball,1,11.2,Glamorgan,CAJ Meschede,MG Hogan,CJ Jordan,0,0,,,,,,caught,CAJ Meschede
ball,1,11.3,Glamorgan,MG Hogan,SW Tait,CJ Jordan,0,6,,6,,,,"",""
ball,1,11.4,Glamorgan,MG Hogan,SW Tait,CJ Jordan,1,0,,,,,,"",""
ball,1,11.5,Glamorgan,SW Tait,MG Hogan,CJ Jordan,0,0,,,,,,"",""
ball,1,11.6,Glamorgan,SW Tait,MG Hogan,CJ Jordan,1,0,,,,,,"",""
ball,1,11.7,Glamorgan,MG Hogan,SW Tait,CJ Jordan,4,0,,,,,,"",""
ball,1,12.1,Glamorgan,SW Tait,MG Hogan,JC Archer,4,0,,,,,,"",""
ball,1,12.2,Glamorgan,SW Tait,MG Hogan,JC Archer,2,0,,,,,,"",""
ball,1,12.3,Glamorgan,SW Tait,MG Hogan,JC Archer,0,0,,,,,,"",""
ball,1,12.4,Glamorgan,SW Tait,MG Hogan,JC Archer,4,0,,,,,,"",""
ball,1,12.5,Glamorgan,SW Tait,MG Hogan,JC Archer,1,0,,,,,,"",""
ball,1,12.6,Glamorgan,MG Hogan,SW Tait,JC Archer,1,0,,,,,,"",""
ball,1,13.1,Glamorgan,MG Hogan,SW Tait,CJ Jordan,0,0,,,,,,"",""
ball,1,13.2,Glamorgan,MG Hogan,SW Tait,CJ Jordan,0,0,,,,,,caught,MG Hogan
ball,2,0.1,Sussex,CD Nash,LJ Wright,T van der Gugten,4,0,,,,,,"",""
ball,2,0.2,Sussex,CD Nash,LJ Wright,T van der Gugten,0,4,,,,4,,"",""
ball,2,0.3,Sussex,CD Nash,LJ Wright,T van der Gugten,1,0,,,,,,"",""
ball,2,0.4,Sussex,LJ Wright,CD Nash,T van der Gugten,0,0,,,,,,"",""
ball,2,0.5,Sussex,LJ Wright,CD Nash,T van der Gugten,1,0,,,,,,"",""
ball,2,0.6,Sussex,CD Nash,LJ Wright,T van der Gugten,1,0,,,,,,"",""
ball,2,1.1,Sussex,CD Nash,LJ Wright,SW Tait,0,0,,,,,,"",""
ball,2,1.2,Sussex,CD Nash,LJ Wright,SW Tait,0,0,,,,,,"",""
ball,2,1.3,Sussex,CD Nash,LJ Wright,SW Tait,0,3,3,,,,,"",""
ball,2,1.4,Sussex,CD Nash,LJ Wright,SW Tait,0,0,,,,,,"",""
ball,2,1.5,Sussex,CD Nash,LJ Wright,SW Tait,4,0,,,,,,"",""
ball,2,1.6,Sussex,CD Nash,LJ Wright,SW Tait,0,0,,,,,,caught,CD Nash
ball,2,1.7,Sussex,PD Salt,LJ Wright,SW Tait,1,0,,,,,,"",""
